iter	Passed	Remaining
1082	12993	46995
1083	13004	46980
1084	13017	46970
1085	13029	46958
1086	13040	46943
1087	13052	46933
1088	13064	46920
1089	13077	46910
1090	13090	46902
1091	13102	46890
1092	13114	46879
1093	13126	46866
1094	13138	46854
1095	13151	46845
1096	13162	46831
1097	13172	46810
1098	13183	46794
1099	13194	46779
1100	13206	46768
1101	13219	46759
1102	13231	46746
1103	13243	46735
1104	13254	46722
1105	13266	46710
1106	13278	46698
1107	13289	46680
1108	13299	46660
1109	13311	46648
1110	13323	46637
1111	13335	46624
1112	13347	46613
1113	13359	46601
1114	13370	46587
1115	13383	46579
1116	13395	46565
1117	13407	46555
1118	13419	46541
1119	13431	46532
1120	13444	46520
1121	13456	46509
1122	13467	46494
1123	13479	46482
1124	13492	46472
1125	13503	46460
1126	13515	46447
1127	13527	46433
1128	13538	46419
1129	13550	46408
1130	13563	46398
1131	13575	46386
1132	13587	46376
1133	13598	46361
1134	13610	46347
1135	13623	46339
1136	13635	46326
1137	13647	46313
1138	13659	46302
1139	13671	46289
1140	13683	46277
1141	13694	46265
1142	13705	46248
1143	13718	46239
1144	13730	46228
1145	13742	46215
1146	13755	46208
1147	13766	46191
1148	13778	46179
1149	13790	46169
1150	13802	46157
1151	13815	46146
1152	13827	46136
1153	13839	46123
1154	13850	46108
1155	13862	46096
1156	13873	46080
1157	13885	46068
1158	13897	46056
1159	13908	46042
1160	13920	46031
1161	13933	46019
1162	13944	46006
1163	13956	45994
1164	13968	45980
1165	13981	45971
1166	13993	45959
1167	14005	45950
1168	14017	45938
1169	14028	45923
1170	14039	45907
1171	14051	45896
1172	14063	45882
1173	14075	45872
1174	14088	45862
1175	14101	45854
1176	14113	45840
1177	14126	45831
1178	14137	45817
1179	14148	45803
1180	14159	45786
1181	14171	45775
1182	14183	45763
1183	14194	45748
1184	14207	45739
1185	14219	45728
1186	14230	45712
1187	14240	45695
1188	14251	45679
1189	14262	45665
1190	14273	45649
1191	14285	45636
1192	14295	45617
1193	14307	45606
1194	14318	45592
1195	14329	45575
1196	14340	45561
1197	14352	45550
1198	14365	45540
1199	14378	45531
1200	14388	45514
1201	14401	45505
1202	14413	45494
1203	14426	45484
1204	14437	45468
1205	14449	45458
1206	14462	45448
1207	14474	45437
1208	14485	45422
1209	14496	45406
1210	14507	45392
1211	14519	45379
1212	14531	45367
1213	14542	45353
1214	14553	45337
1215	14564	45323
1216	14576	45311
1217	14588	45298
1218	14600	45287
1219	14613	45278
1220	14625	45267
1221	14637	45255
1222	14649	45243
1223	14660	45228
1224	14673	45217
1225	14683	45199
1226	14695	45189
1227	14708	45179
1228	14719	45163
1229	14730	45149
1230	14742	45138
1231	14754	45126
1232	14765	45111
1233	14778	45100
1234	14789	45086
1235	14800	45072
1236	14812	45061
1237	14825	45050
1238	14836	45037
1239	14848	45024
1240	14860	45012
1241	14871	44997
1242	14884	44987
1243	14896	44975
1244	14907	44960
1245	14918	44947
1246	14930	44933
1247	14942	44923
1248	14953	44908
1249	14965	44897
1250	14977	44885
1251	14990	44874
1252	15002	44865
1253	15014	44850
1254	15026	44840
1255	15038	44827
1256	15051	44819
1257	15065	44813
1258	15078	44803
1259	15090	44791
1260	15102	44781
1261	15114	44767
1262	15126	44757
1263	15139	44746
1264	15152	44740
1265	15165	44729
1266	15177	44718
1267	15189	44705
1268	15200	44690
1269	15212	44678
1270	15223	44664
1271	15235	44651
1272	15246	44638
1273	15260	44630
1274	15271	44616
1275	15282	44602
1276	15294	44589
1277	15307	44580
1278	15317	44563
1279	15329	44549
1280	15340	44536
1281	15352	44524
1282	15364	44512
1283	15376	44500
1284	15386	44483
1285	15398	44472
1286	15410	44460
1287	15423	44449
1288	15433	44433
1289	15445	44419
1290	15457	44408
1291	15470	44400
1292	15482	44388
1293	15495	44380
1294	15506	44364
1295	15518	44353
1296	15531	44342
1297	15543	44330
1298	15553	44315
1299	15566	44303
1300	15578	44291
1301	15589	44276
1302	15601	44266
1303	15613	44253
1304	15624	44240
1305	15636	44228
1306	15647	44213
1307	15659	44201
1308	15672	44192
1309	15684	44179
1310	15695	44165
1311	15707	44153
1312	15719	44142
1313	15730	44127
1314	15742	44115
1315	15754	44102
1316	15767	44093
1317	15778	44078
1318	15790	44066
1319	15801	44053
1320	15813	44041
1321	15825	44028
1322	15837	44016
1323	15849	44005
1324	15862	43995
1325	15874	43984
1326	15886	43972
1327	15899	43961
1328	15909	43946
1329	15921	43934
1330	15933	43921
1331	15943	43905
1332	15957	43896
1333	15969	43885
1334	15981	43875
1335	15993	43862
1336	16006	43853
1337	16018	43840
1338	16030	43829
1339	16043	43821
1340	16056	43811
1341	16068	43799
1342	16080	43787
1343	16092	43775
1344	16105	43764
1345	16116	43751
1346	16128	43740
1347	16139	43724
1348	16151	43713
1349	16163	43702
1350	16175	43689
1351	16187	43678
1352	16199	43665
1353	16210	43650
1354	16221	43636
1355	16233	43625
1356	16246	43614
1357	16257	43601
1358	16268	43585
1359	16279	43571
1360	16291	43559
1361	16303	43546
1362	16316	43537
1363	16327	43523
1364	16339	43511
1365	16349	43496
1366	16362	43485
1367	16374	43474
1368	16387	43463
1369	16400	43455
1370	16412	43442
1371	16424	43431
1372	16435	43418
1373	16447	43405
1374	16458	43391
1375	16471	43380
1376	16482	43365
1377	16493	43353
1378	16505	43341
1379	16517	43329
1380	16530	43318
1381	16541	43304
1382	16553	43292
1383	16566	43283
1384	16578	43272
1385	16589	43257
1386	16601	43245
1387	16613	43233
1388	16625	43221
1389	16635	43205
1390	16648	43195
1391	16661	43186
1392	16674	43175
1393	16685	43162
1394	16696	43146
1395	16708	43134
1396	16720	43123
1397	16732	43111
1398	16743	43098
1399	16755	43086
1400	16767	43072
1401	16778	43058
1402	16788	43042
1403	16801	43032
1404	16813	43020
1405	16825	43009
1406	16837	42997
1407	16849	42985
1408	16862	42975
1409	16874	42964
1410	16886	42951
1411	16898	42939
1412	16910	42927
1413	16921	42914
1414	16934	42904
1415	16946	42893
1416	16959	42882
1417	16972	42873
1418	16983	42860
1419	16996	42849
1420	17007	42835
1421	17018	42820
1422	17031	42811
1423	17044	42802
1424	17058	42795
1425	17069	42782
1426	17082	42771
1427	17093	42757
1428	17105	42745
1429	17117	42734
1430	17129	42721
1431	17140	42707
1432	17153	42699
1433	17165	42686
1434	17177	42674
1435	17190	42664
1436	17203	42656
1437	17215	42643
1438	17227	42631
1439	17239	42620
1440	17251	42607
1441	17262	42593
1442	17273	42579
1443	17286	42568
1444	17298	42558
1445	17310	42545
1446	17322	42533
1447	17334	42522
1448	17345	42508
1449	17356	42494
1450	17369	42483
1451	17380	42469
1452	17392	42457
1453	17404	42446
1454	17415	42431
1455	17428	42421
1456	17441	42412
1457	17453	42401
1458	17465	42389
1459	17478	42380
1460	17488	42363
1461	17500	42351
1462	17511	42336
1463	17524	42326
1464	17535	42312
1465	17547	42299
1466	17560	42291
1467	17572	42278
1468	17584	42267
1469	17596	42254
1470	17608	42242
1471	17620	42231
1472	17633	42221
1473	17646	42212
1474	17658	42200
1475	17669	42187
1476	17681	42174
1477	17693	42161
1478	17706	42154
1479	17718	42142
1480	17730	42128
1481	17741	42114
1482	17751	42098
1483	17763	42086
1484	17775	42075
1485	17787	42063
1486	17800	42053
1487	17812	42040
1488	17823	42027
1489	17835	42014
1490	17847	42003
1491	17858	41989
1492	17869	41974
1493	17881	41962
1494	17893	41950
1495	17905	41938
1496	17918	41928
1497	17930	41916
1498	17941	41903
1499	17953	41891
1500	17965	41878
1501	17978	41870
1502	17991	41859
1503	18003	41849
1504	18016	41838
1505	18029	41829
1506	18042	41819
1507	18054	41807
1508	18066	41794
1509	18077	41781
1510	18089	41768
1511	18100	41754
1512	18112	41743
1513	18123	41730
1514	18135	41717
1515	18147	41705
1516	18160	41695
1517	18171	41682
1518	18183	41670
1519	18196	41660
1520	18208	41648
1521	18220	41637
1522	18232	41624
1523	18245	41615
1524	18257	41602
1525	18269	41591
1526	18281	41580
1527	18296	41573
1528	18308	41563
1529	18321	41552
1530	18334	41542
1531	18345	41528
1532	18357	41516
1533	18369	41504
1534	18381	41493
1535	18393	41480
1536	18404	41467
1537	18416	41455
1538	18429	41444
1539	18441	41434
1540	18454	41422
1541	18464	41407
1542	18476	41395
1543	18488	41383
1544	18500	41372
1545	18513	41361
1546	18524	41348
1547	18536	41336
1548	18547	41321
1549	18559	41309
1550	18571	41298
1551	18584	41287
1552	18596	41275
1553	18608	41264
1554	18618	41248
1555	18630	41236
1556	18642	41224
1557	18654	41212
